Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-07-21,1.79,1.79,1.79,1.79
2015-07-22,1.79,1.79,1.79,1.79
2015-07-23,1.79,1.79,1.79,1.79
2015-07-24,1.79,1.79,1.79,1.79
2015-07-27,1.79,1.79,1.79,1.79
2015-07-28,1.79,1.79,1.79,1.79
2015-07-29,1.79,1.79,1.79,1.79
2015-07-30,1.79,1.79,1.79,1.79
2015-07-31,1.79,1.79,1.79,1.79
2015-08-03,1.79,1.79,1.79,1.79
2015-08-04,1.79,1.79,1.79,1.79
2015-08-05,1.79,1.79,1.79,1.79
2015-08-06,1.79,1.79,1.79,1.79
2015-08-07,1.79,1.79,1.79,1.79
2015-08-10,1.79,1.79,1.79,1.79
2015-08-11,1.79,1.79,1.79,1.79
2015-08-12,1.8,1.8,1.8,1.8
2015-08-13,1.8,1.8,1.8,1.8
2015-08-14,1.8,1.8,1.8,1.8
2015-08-17,1.8,1.8,1.8,1.8
2015-08-18,1.8,1.8,1.8,1.8
2015-08-19,1.8,1.8,1.8,1.8
2015-08-20,1.8,1.8,1.8,1.8
2015-08-21,1.8,1.8,1.8,1.8
2015-08-24,1.8,1.8,1.8,1.8
2015-08-25,1.8,1.8,1.8,1.8
2015-08-26,1.8,1.8,1.8,1.8
2015-08-27,1.8,1.8,1.8,1.8
2015-08-28,1.8,1.8,1.8,1.8
2015-08-31,1.8,1.8,1.8,1.8
2015-09-01,1.8,1.8,1.8,1.8
2015-09-02,1.8,1.8,1.8,1.8
2015-09-03,1.8,1.8,1.8,1.8
2015-09-04,1.8,1.8,1.8,1.8
2015-09-07,1.8,1.8,1.8,1.8
2015-09-08,1.8,1.8,1.8,1.8
2015-09-09,1.8,1.8,1.8,1.8
2015-09-10,1.8,1.8,1.8,1.8
2015-09-11,1.8,1.8,1.8,1.8
2015-09-14,1.8,1.8,1.8,1.8
2015-09-15,1.8,1.8,1.8,1.8
2015-09-16,1.8,1.8,1.8,1.8
2015-09-17,1.8,1.8,1.8,1.8
2015-09-18,1.8,1.8,1.8,1.8
2015-09-21,1.8,1.8,1.8,1.8
2015-09-22,1.8,1.8,1.8,1.8
2015-09-23,1.8,1.8,1.8,1.8
2015-09-24,1.8,1.8,1.8,1.8
2015-09-25,1.8,1.8,1.8,1.8
2015-09-28,1.8,1.8,1.8,1.8
2015-09-29,1.81,1.81,1.81,1.81
2015-09-30,1.81,1.81,1.81,1.81
2015-10-01,1.81,1.81,1.81,1.81
2015-10-02,1.81,1.81,1.81,1.81
2015-10-05,1.81,1.81,1.81,1.81
2015-10-06,1.81,1.81,1.81,1.81
2015-10-07,1.81,1.81,1.81,1.81
2015-10-08,1.81,1.81,1.81,1.81
2015-10-09,1.81,1.81,1.81,1.81
2015-10-12,1.81,1.81,1.81,1.81
2015-10-13,1.81,1.81,1.81,1.81
2015-10-14,1.81,1.81,1.81,1.81
2015-10-15,1.81,1.81,1.81,1.81
2015-10-16,1.81,1.81,1.81,1.81
2015-10-19,1.81,1.81,1.81,1.81
2015-10-20,1.81,1.81,1.81,1.81
2015-10-21,1.81,1.81,1.81,1.81
2015-10-22,1.81,1.81,1.81,1.81
2015-10-23,1.81,1.81,1.81,1.81
2015-10-26,1.81,1.81,1.81,1.81
2015-10-27,1.81,1.81,1.81,1.81
2015-10-28,1.81,1.81,1.81,1.81
2015-10-29,1.81,1.81,1.81,1.81
2015-10-30,1.8,1.8,1.8,1.8
2015-11-02,1.8,1.8,1.8,1.8
2015-11-03,1.8,1.8,1.8,1.8
2015-11-04,1.8,1.8,1.8,1.8
2015-11-05,1.8,1.8,1.8,1.8
2015-11-06,1.8,1.8,1.8,1.8
2015-11-09,1.8,1.8,1.8,1.8
2015-11-10,1.8,1.8,1.8,1.8
2015-11-12,1.8,1.8,1.8,1.8
2015-11-13,1.8,1.8,1.8,1.8
2015-11-16,1.8,1.8,1.8,1.8
2015-11-17,1.8,1.8,1.8,1.8
2015-11-18,1.8,1.8,1.8,1.8
2015-11-19,1.8,1.8,1.8,1.8
2015-11-20,1.8,1.8,1.8,1.8
2015-11-23,1.8,1.8,1.8,1.8
2015-11-24,1.8,1.8,1.8,1.8
2015-11-25,1.8,1.8,1.8,1.8
2015-11-26,1.8,1.8,1.8,1.8
2015-11-27,1.8,1.8,1.8,1.8
2015-11-30,1.8,1.8,1.8,1.8
2015-12-01,1.8,1.8,1.8,1.8
2015-12-02,1.79,1.79,1.79,1.79
2015-12-03,1.79,1.79,1.79,1.79
2015-12-04,1.78,1.78,1.78,1.78
2015-12-07,1.78,1.78,1.78,1.78
2015-12-08,1.78,1.78,1.78,1.78
2015-12-09,1.77,1.77,1.77,1.77
2015-12-10,1.77,1.77,1.77,1.77
2015-12-11,1.77,1.77,1.77,1.77
2015-12-14,1.77,1.77,1.77,1.77
2015-12-15,1.77,1.77,1.77,1.77
2015-12-16,1.77,1.77,1.77,1.77
2015-12-17,1.77,1.77,1.77,1.77
2015-12-18,1.77,1.77,1.77,1.77
2015-12-21,1.77,1.77,1.77,1.77
2015-12-22,1.77,1.77,1.77,1.77
2015-12-23,1.77,1.77,1.77,1.77
2015-12-24,1.77,1.77,1.77,1.77
2015-12-28,1.77,1.77,1.77,1.77
2015-12-29,1.77,1.77,1.77,1.77
2015-12-30,1.77,1.77,1.77,1.77
2015-12-31,1.77,1.77,1.77,1.77
2016-01-04,1.77,1.77,1.77,1.77
2016-01-05,1.77,1.77,1.77,1.77
2016-01-07,1.77,1.77,1.77,1.77
2016-01-08,1.77,1.77,1.77,1.77
2016-01-11,1.77,1.77,1.77,1.77
2016-01-12,1.76,1.76,1.76,1.76
2016-01-13,1.76,1.76,1.76,1.76
2016-01-14,1.76,1.76,1.76,1.76
2016-01-15,1.75,1.75,1.75,1.75
2016-01-18,1.75,1.75,1.75,1.75
2016-01-19,1.75,1.75,1.75,1.75
2016-01-20,1.75,1.75,1.75,1.75
2016-01-21,1.75,1.75,1.75,1.75
2016-01-22,1.75,1.75,1.75,1.75
2016-01-25,1.75,1.75,1.75,1.75
2016-01-26,1.75,1.75,1.75,1.75
2016-01-27,1.75,1.75,1.75,1.75
